trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.10848	0.13284
-0.0025	-0.0599	0.1555	-0.0022741640153486112	0.00040840704496667313	0.0002670353755551324	1.37085712	67.16085815	1.24655277	0.36538032179352087	0.0975881	0.10968
0.1631	-0.1393	0.4878	-0.02896024827834191	0.006082472443200237	0.0067160269616741795	4.10884237	201.29988098	3.03111015	2.517757062367296	0.0276523	0.034
0.1829	-0.1759	0.4376	-0.025556856236952967	0.006089453760208215	0.005635668154689691	1.97529566	96.7734375	1.648639	0.33113660826907043	0.0258851	0.00181
0.1791	-0.16	0.3191	-0.020336576444237926	0.006124360345248102	0.004705407663376713	1.31394804	64.37277985	1.12937453	0.44747234345339526	0.0373222	0.0035
0.1784	-0.1426	0.2338	-0.017242107680451983	0.006492624817418905	0.0037000980142279784	1.07270205	52.55368423	1.03637364	0.32680214425527404	0.0452359	0.01018
0.1603	-0.1768	0.2661	-0.017086773377024488	0.0064280476350951155	0.0035133477842645856	0.98159778	48.09031677	0.99432331	0.10493308578573388	0.0426869	0.00917
0.1606	-0.1559	0.2465	-0.017821556992114095	0.006522295414702809	0.003227113786937515	0.91721129	44.93590164	0.96192293	0.09656326960121858	0.0417529	0.00807
0.1559	-0.1467	0.2346	-0.018062412428889316	0.00641757565958315	0.00301941960595019	0.87378716	42.80847168	0.94316802	0.053463468644110286	0.0417295	0.00773
0.165	-0.1493	0.2123	-0.017474236470967228	0.006630505828326458	0.002933898472602468	0.8791104	43.06926727	0.93743885	0.07833136300065592	0.044472	0.00865
0.1535	-0.1724	0.2384	-0.019432495891704864	0.0065606926582466845	0.0025778513051956248	0.90953356	44.55975342	0.96079546	0.17990598791121265	0.0380109	0.0053
0.142	-0.165	0.253	-0.019158479199141754	0.006448991586119048	0.0025464353786597265	0.83536184	40.92594147	0.91616839	0.05435668456133223	0.0388061	0.00593
0.1359	-0.1576	0.2436	-0.02023185668911827	0.0064280476350951155	0.0022462387473167022	0.8486464	41.57677841	0.91741592	0.09262590361717357	0.0368773	0.00509
0.144	-0.1652	0.2558	-0.021636846736973702	0.006014404602372459	0.0024172810140121463	0.86119699	42.19165421	0.9262728	0.1273837673636767	0.032666	0.00309
0.1425	-0.1755	0.2518	-0.021169098497439226	0.005890486225480862	0.0023649211364523163	0.90095514	44.13948059	0.94525915	0.04800132469929516	0.0338778	0.00352
0.1335	-0.179	0.248	-0.020275489920418124	0.006295402611943547	0.002176425577236929	0.86372858	42.31568146	0.93315165	0.09065102613495875	0.0356625	0.0043
0.1546	-0.1677	0.263	-0.021378538007678544	0.005572836301617893	0.002530727415391778	0.89417738	43.80742645	0.94825681	0.15639581178704615	0.0336695	0.00332
0.1308	-0.1837	0.3044	-0.02314830186920079	0.005895722213236845	0.002235766771804736	0.96566427	47.30970383	0.96868011	0.200580520836412	0.0262311	0.00161
0.1312	-0.1695	0.2879	-0.024059363738741832	0.006237806746627734	0.00222529479629277	0.89064026	43.6341362	0.93478611	0.09428091892219481	0.0245512	0.00107
0.1247	-0.1844	0.2709	-0.024089034336025737	0.00647866218340295	0.00214850030920502	0.82396078	40.36738205	0.91109289	0.055766026057343626	0.0247616	0.00117
0.1232	-0.1801	0.2939	-0.024677210293947822	0.006380923745291268	0.00217293491873294	0.83984762	41.14570999	0.91337957	0.06431745027808441	0.0241951	0.00096
0.1234	-0.1892	0.3124	-0.025001841534818773	0.006120869686744114	0.0021258110289290935	0.83201319	40.7618866	0.91120645	0.05939045946109756	0.02285	0.0006
0.1268	-0.1855	0.3014	-0.025246187630097974	0.005928883469024737	0.002234021442552742	0.82806343	40.56837845	0.91042471	0.04532713633111132	0.0224475	0.00056
0.1384	-0.1964	0.3367	-0.02676287875008105	0.005581562947877866	0.0027576202181510408	0.89187014	43.69438934	0.94220327	0.1771805208364123	0.0185825	0.0003
0.1508	-0.1694	0.3386	-0.028056167725808843	0.005562364326105927	0.0029653143991383657	0.89216816	43.708992	0.94163252	0.11730908892435286	0.0160201	0.00019
0.1552	-0.1868	0.3468	-0.029063222704209576	0.006117379028240125	0.0031764992386296795	0.88126522	43.17483521	0.93441136	0.11866272600131215	0.0135183	0.0002
0.0965	-0.1953	0.3726	-0.02952049896823209	0.007173303225696694	0.0022165681500327986	0.90678239	44.42496872	0.95327587	0.21665657750379827	0.012221	0.0002
0.0999	-0.1849	0.3828	-0.02902308013141371	0.006927211801165493	0.0024678955623199817	0.82363063	40.35120773	0.91203857	0.07374188368183822	0.0122415	0.00013
0.1237	-0.1991	0.3679	-0.0293337487382687	0.006796312107265919	0.0029199358385865134	0.90913802	44.54037476	0.94899576	0.09758042885105475	0.0117503	0.00018
0.1269	-0.1955	0.4046	-0.031723104484248935	0.006600835231042554	0.0029146998508305304	0.94778693	46.43385696	0.94900978	0.17300343049797914	0.00925583	0.00011
0.1377	-0.1842	0.4129	-0.03255911719595422	0.006438519610607082	0.0030613075079980543	0.83111817	40.71803665	0.91171246	0.08764679946541389	0.00833887	0.00015
0.1359	-0.2174	0.4476	-0.032888984424581144	0.006600835231042554	0.0032096604944175725	0.84043854	41.17465973	0.91142756	0.10172679177409592	0.00623113	6e-05
0.1239	-0.2144	0.4395	-0.03294308963139297	0.006724753607934152	0.0032061698359135836	0.83485687	40.90120316	0.9087571	0.032175712110370486	0.00654936	0.0001
0.1151	-0.1991	0.4583	-0.032353168344218884	0.006754424205218055	0.0029967303256742636	0.8751719	42.87631226	0.92606186	0.08435156973486535	0.00639659	8e-05
0.1227	-0.2115	0.4621	-0.03342829116344739	0.00645422757387503	0.003303908274025266	0.88143837	43.18331909	0.93412635	0.10792486994612688	0.00629771	0.0001
0.1234	-0.215	0.4851	-0.033110641239584425	0.006185446869067903	0.003316125578789226	0.8430289	41.30156708	0.91398932	0.057132396671702695	0.00639117	8e-05
0.1147	-0.2168	0.4837	-0.03213500218771959	0.006328563867731438	0.0032812189937493396	0.87372875	42.80561066	0.92471415	0.06958313177841259	0.00686431	0.0001
0.1124	-0.2167	0.4705	-0.033370695298131574	0.006065019150680294	0.003258529713473413	0.88739204	43.47499847	0.93078511	0.09169635538695256	0.00695491	0.00012
0.0738	-0.2085	0.4887	-0.0349641809052024	0.006431538293599104	0.002574360646691636	0.93057704	45.5907135	0.95655151	0.1972086908385705	0.00681782	0.00015
0.0867	-0.2135	0.5008	-0.03593283864005926	0.006052801845916334	0.002829178717482808	0.88762957	43.48663712	0.93159279	0.11011061266654008	0.00604165	0.00011
0.089	-0.2188	0.491	-0.03549301566855668	0.006314601233715484	0.0029530970943744054	0.85016578	41.6512146	0.91599042	0.05867703680966634	0.00551993	7e-05
0.0888	-0.1959	0.4747	-0.035349898669893146	0.006339035843243405	0.0029530970943744054	0.83525538	40.92072678	0.90646536	0.04777758040957263	0.00619	8e-05
0.0891	-0.2089	0.4872	-0.03491182102764258	0.006410594342575173	0.003001966313430246	0.84256345	41.27876282	0.90671805	0.053725268031908816	0.00563151	0.00013
0.0866	-0.212	0.4722	-0.03568151122777207	0.006326818538479445	0.002855358656262723	0.83363277	40.8412323	0.90482803	0.0706036830696372	0.00604934	9e-05
0.0832	-0.2164	0.4923	-0.03551745027808461	0.00649786080517489	0.0029513517651224112	0.83136243	40.73000336	0.90574197	0.04945481626212975	0.00700575	0.00011
0.0824	-0.2082	0.4841	-0.036025341090414956	0.006504842122182866	0.002967059728390361	0.83489406	40.90302658	0.90841413	0.04372900463031361	0.00673544	0.00013
0.0732	-0.1981	0.4718	-0.03557679147265242	0.006253514709895682	0.0029024825460665696	0.83094054	40.70933533	0.91233897	0.06982271061867547	0.00638616	0.00011
0.082	-0.2085	0.4849	-0.035021776770518216	0.006386159733047251	0.0029269171555944902	0.83416134	40.86712646	0.91495042	0.0679047167406847	0.00633055	0.00013
0.1077	-0.268	0.4492	-0.028016025153012977	0.008150687606813518	0.0023928464044842257	1.96496308	96.26722717	1.42743878	0.5861175121190886	0.0221636	0.01503
0.1638	-0.1901	0.298	-0.023926718715590264	0.008426449628628624	0.0012950343049797925	2.53006625	123.95269012	1.8244086	0.5583440279371127	0.0355701	0.01141
0.1316	-0.1579	0.3305	-0.02617470279215896	0.006513568768442837	0.0015987215948268059	1.59650159	78.21560669	1.36664031	0.3201276113300749	0.0224544	0.00102
